visited_count, solution_dipped_outside_for
2504, 1
1952669, 1
256248, 1
861720, 1
59423, 30
226013, 1
22, 1
354537, 1
2689, 1
107126, 20
1284869, 1
6234219, 1
959293, 1
517889, 1
56103, 1
323440, 47
1308808, 1
4484, 1
574176, 1
3239980, 1
1221922, 1
544238, 1
502632, 1
4612, 1
921, 1
1751, 1
41446, 12
1320705, 1
275028, 3
723, 1
141119, 1
379, 1
44033, 1
269008, 37
50252, 8
2754286, 1
1255245, 1
24956, 10
1482, 1
423693, 1
1316995, 1
725943, 1
34679, 1
600439, 22
2319348, 1
756, 1
1328510, 1
364378, 5
1603771, 1
758818, 1
272289, 1
217237, 28
286065, 1
33419, 1
633239, 1
1141061, 1
4998, 7
242263, 1
194744, 1
563806, 1
451973, 1
1970164, 1
2094368, 1
1198658, 1
15144, 8
1639098, 1
1784726, 1
577026, 1
350655, 2
459432, 1
1565635, 1
651390, 1
3769, 1
511972, 1
2672327, 1
3407161, 1
1517794, 1
1853432, 1
693537, 1
44669, 1
553272, 1
136953, 1
600895, 1
547657, 1
1669672, 1
916, 2
159481, 2
1322800, 2
397796, 1
635540, 1
1224513, 1
482312, 1
8302, 1
975711, 1
5612855, 1
1495246, 1
2359346, 1
318195, 25
1662674, 1
1760405, 1
